id,Datum,Fastenzeit
151108,2015-11-08,0
151109,2015-11-09,0
151110,2015-11-10,0
151111,2015-11-11,0
151112,2015-11-12,0
151113,2015-11-13,0
151114,2015-11-14,0
151115,2015-11-15,0
151116,2015-11-16,0
151117,2015-11-17,0
151118,2015-11-18,0
151119,2015-11-19,0
151120,2015-11-20,0
151121,2015-11-21,0
151122,2015-11-22,0
151123,2015-11-23,0
151124,2015-11-24,0
151125,2015-11-25,0
151126,2015-11-26,0
151127,2015-11-27,0
151128,2015-11-28,0
151129,2015-11-29,0
151130,2015-11-30,0
151201,2015-12-01,0
151202,2015-12-02,0
151203,2015-12-03,0
151204,2015-12-04,0
151205,2015-12-05,0
151206,2015-12-06,0
151207,2015-12-07,0
151208,2015-12-08,0
151209,2015-12-09,0
151210,2015-12-10,0
151211,2015-12-11,0
151212,2015-12-12,0
151213,2015-12-13,0
151214,2015-12-14,0
151215,2015-12-15,0
151216,2015-12-16,0
151217,2015-12-17,0
151218,2015-12-18,0
151219,2015-12-19,0
151220,2015-12-20,0
151221,2015-12-21,0
151222,2015-12-22,0
151223,2015-12-23,0
151224,2015-12-24,0
151225,2015-12-25,0
151226,2015-12-26,0
151227,2015-12-27,0
151228,2015-12-28,0
151229,2015-12-29,0
151230,2015-12-30,0
151231,2015-12-31,0
160101,2016-01-01,0
160102,2016-01-02,0
160103,2016-01-03,0
160104,2016-01-04,0
160105,2016-01-05,0
160106,2016-01-06,0
160107,2016-01-07,0
160108,2016-01-08,0
160109,2016-01-09,0
160110,2016-01-10,0
160111,2016-01-11,0
160112,2016-01-12,0
160113,2016-01-13,0
160114,2016-01-14,0
160115,2016-01-15,0
160116,2016-01-16,0
160117,2016-01-17,0
160118,2016-01-18,0
160119,2016-01-19,0
160120,2016-01-20,0
160121,2016-01-21,0
160122,2016-01-22,0
160123,2016-01-23,0
160124,2016-01-24,0
160125,2016-01-25,0
160126,2016-01-26,0
160127,2016-01-27,0
160128,2016-01-28,0
160129,2016-01-29,0
160130,2016-01-30,0
160131,2016-01-31,0
160201,2016-02-01,0
160202,2016-02-02,0
160203,2016-02-03,0
160204,2016-02-04,0
160205,2016-02-05,0
160206,2016-02-06,0
160207,2016-02-07,0
160208,2016-02-08,0
160209,2016-02-09,0
160210,2016-02-10,1
160211,2016-02-11,1
160212,2016-02-12,1
160213,2016-02-13,1
160214,2016-02-14,1
160215,2016-02-15,1
160216,2016-02-16,1
160217,2016-02-17,1
160218,2016-02-18,1
160219,2016-02-19,1
160220,2016-02-20,1
160221,2016-02-21,1
160222,2016-02-22,1
160223,2016-02-23,1
160224,2016-02-24,1
160225,2016-02-25,1
160226,2016-02-26,1
160227,2016-02-27,1
160228,2016-02-28,1
160229,2016-02-29,1
160301,2016-03-01,1
160302,2016-03-02,1
160303,2016-03-03,1
160304,2016-03-04,1
160305,2016-03-05,1
160306,2016-03-06,1
160307,2016-03-07,1
160308,2016-03-08,1
160309,2016-03-09,1
160310,2016-03-10,1
160311,2016-03-11,1
160312,2016-03-12,1
160313,2016-03-13,1
160314,2016-03-14,1
160315,2016-03-15,1
160316,2016-03-16,1
160317,2016-03-17,1
160318,2016-03-18,1
160319,2016-03-19,1
160320,2016-03-20,1
160321,2016-03-21,1
160322,2016-03-22,1
160323,2016-03-23,1
160324,2016-03-24,1
160325,2016-03-25,1
160326,2016-03-26,1
160327,2016-03-27,0
160328,2016-03-28,0
160329,2016-03-29,0
160330,2016-03-30,0
160331,2016-03-31,0
160401,2016-04-01,0
160402,2016-04-02,0
160403,2016-04-03,0
160404,2016-04-04,0
160405,2016-04-05,0
160406,2016-04-06,0
160407,2016-04-07,0
160408,2016-04-08,0
160409,2016-04-09,0
160410,2016-04-10,0
160411,2016-04-11,0
160412,2016-04-12,0
160413,2016-04-13,0
160414,2016-04-14,0
160415,2016-04-15,0
160416,2016-04-16,0
160417,2016-04-17,0
160418,2016-04-18,0
160419,2016-04-19,0
160420,2016-04-20,0
160421,2016-04-21,0
160422,2016-04-22,0
160423,2016-04-23,0
160424,2016-04-24,0
160425,2016-04-25,0
160426,2016-04-26,0
160427,2016-04-27,0
160428,2016-04-28,0
160429,2016-04-29,0
160430,2016-04-30,0
160501,2016-05-01,0
160502,2016-05-02,0
160503,2016-05-03,0
160504,2016-05-04,0
160505,2016-05-05,0
160506,2016-05-06,0
160507,2016-05-07,0
160508,2016-05-08,0
160509,2016-05-09,0
160510,2016-05-10,0
160511,2016-05-11,0
160512,2016-05-12,0
160513,2016-05-13,0
160514,2016-05-14,0
160515,2016-05-15,0
160516,2016-05-16,0
160517,2016-05-17,0
160518,2016-05-18,0
160519,2016-05-19,0
160520,2016-05-20,0
160521,2016-05-21,0
160522,2016-05-22,0
160523,2016-05-23,0
160524,2016-05-24,0
160525,2016-05-25,0
160526,2016-05-26,0
160527,2016-05-27,0
160528,2016-05-28,0
160529,2016-05-29,0
160530,2016-05-30,0
160531,2016-05-31,0
160601,2016-06-01,0
160602,2016-06-02,0
160603,2016-06-03,0
160604,2016-06-04,0
160605,2016-06-05,0
160606,2016-06-06,0
160607,2016-06-07,0
160608,2016-06-08,0
160609,2016-06-09,0
160610,2016-06-10,0
160611,2016-06-11,0
160612,2016-06-12,0
160613,2016-06-13,0
160614,2016-06-14,0
160615,2016-06-15,0
160616,2016-06-16,0
160617,2016-06-17,0
160618,2016-06-18,0
160619,2016-06-19,0
160620,2016-06-20,0
160621,2016-06-21,0
160622,2016-06-22,0
160623,2016-06-23,0
160624,2016-06-24,0
160625,2016-06-25,0
160626,2016-06-26,0
160627,2016-06-27,0
160628,2016-06-28,0
160629,2016-06-29,0
160630,2016-06-30,0
160701,2016-07-01,0
160702,2016-07-02,0
160703,2016-07-03,0
160704,2016-07-04,0
160705,2016-07-05,0
160706,2016-07-06,0
160707,2016-07-07,0
